ligand,receptor,cell_from_logFC,cell_from_q.value,cell_from,cell_to_logFC,cell_to_q.value,cell_to,comm_type
HSPA8,ADRB2,0.456034372,2.67E-33,Macrophages,-0.166466443,2.93E-226,Macrophages,other
ICAM1,ITGAL,0.567569691,0,Macrophages,-0.131612737,5.53E-181,Macrophages,other
ICAM1,ITGAM,0.567569691,0,Macrophages,0.614091549,0,Macrophages,other
ICAM1,ITGAX,0.567569691,0,Macrophages,0.296700625,1,Macrophages,other
ICAM1,ITGB2,0.567569691,0,Macrophages,0.189293563,7.45E-07,Macrophages,other
ICAM2,ITGAM,0.119696107,1,Macrophages,0.614091549,0,Macrophages,other
IL10,IL10RA,0.303323501,0,Macrophages,0.611524583,0,Macrophages,other
IL18,CD48,-0.182808116,3.30E-267,Macrophages,0.757493274,0,Macrophages,other
IL18,IL18BP,-0.182808116,3.30E-267,Macrophages,0.483290369,2.52E-243,Macrophages,other
IL1B,IL1R2,-0.16619015,2.89E-204,Macrophages,1.553671742,0,Macrophages,other
IL1RN,IL1R2,0.737122513,3.71E-20,Macrophages,1.553671742,0,Macrophages,other
IL27,IL27RA,0.302464249,5.86E-165,Macrophages,0.240864982,1.43E-38,Macrophages,other
INHBA,ENG,-1.288852474,0,Macrophages,0.420469101,3.30E-40,Macrophages,other
IRAK4,TLR4,0.233343865,2.73E-25,Macrophages,0.30380965,3.37E-24,Macrophages,other
LGALS3BP,ITGB1,-0.519313314,0,Macrophages,-0.138667375,6.35E-177,Macrophages,other
LGALS9,HAVCR2,0.547436978,1.22E-166,Macrophages,0.722253107,0,Macrophages,other
LPL,CD44,-0.765380118,0,Macrophages,0.139727709,1,Macrophages,other
LRPAP1,SORL1,-0.61096315,0,Macrophages,0.139445275,1,Macrophages,other
LRPAP1,SORT1,-0.61096315,0,Macrophages,-0.562961576,0,Macrophages,other
LY86,CD180,-0.11182447,3.49E-129,Macrophages,0.377479955,8.49E-262,Macrophages,other
LYZ,ITGAL,-1.144968663,0,Macrophages,-0.131612737,5.53E-181,Macrophages,other
MDK,ITGA4,0.453475824,8.48E-195,Macrophages,0.153764885,2.51E-06,Macrophages,other
MDK,ITGB1,0.453475824,8.48E-195,Macrophages,-0.138667375,6.35E-177,Macrophages,other
MDK,SDC3,0.453475824,8.48E-195,Macrophages,0.62273371,0,Macrophages,other
MDK,SDC4,0.453475824,8.48E-195,Macrophages,0.254441325,4.66E-55,Macrophages,other
MFNG,NOTCH2,-0.114049305,2.80E-124,Macrophages,0.206278279,6.61E-05,Macrophages,other
PLAU,ITGA5,0.157221242,1,Macrophages,0.451215307,4.73E-107,Macrophages,other
PLAU,ITGAM,0.157221242,1,Macrophages,0.614091549,0,Macrophages,other
PLAU,ST14,0.157221242,1,Macrophages,0.702125539,0,Macrophages,other
PLTP,ABCA1,1.004971147,0,Macrophages,0.645580165,0,Macrophages,other
SEMA4A,PLXNB2,0.312651782,4.21E-189,Macrophages,0.195276497,1,Macrophages,other
SEMA4A,PLXND1,0.312651782,4.21E-189,Macrophages,0.40338418,3.80E-93,Macrophages,other
PROS1,AXL,-0.149004396,1.68E-235,Macrophages,-0.236040645,6.86E-291,Macrophages,other
PSEN1,NOTCH2,0.129660235,1,Macrophages,0.206278279,6.61E-05,Macrophages,other
RNASE2,TLR2,0.809275794,0,Macrophages,0.852865008,0,Macrophages,other
RPS27A,ADRB2,-0.517197979,0,Macrophages,-0.166466443,2.93E-226,Macrophages,other
RPS27A,TLR4,-0.517197979,0,Macrophages,0.30380965,3.37E-24,Macrophages,other
RSPO3,SDC4,-0.138890514,1.15E-211,Macrophages,0.254441325,4.66E-55,Macrophages,other
S100A8,TLR4,2.03028513,0,Macrophages,0.30380965,3.37E-24,Macrophages,other
S100A9,TLR4,1.381482183,0,Macrophages,0.30380965,3.37E-24,Macrophages,other
SELPLG,ITGAM,-0.189110388,1.79E-234,Macrophages,0.614091549,0,Macrophages,other
SELPLG,SELL,-0.189110388,1.79E-234,Macrophages,0.583894701,0,Macrophages,other
SEMA4D,CD72,0.160914739,1.63E-06,Macrophages,0.200163319,1.31E-82,Macrophages,other
SPINT1,ST14,-0.125662109,9.17E-145,Macrophages,0.702125539,0,Macrophages,other
SPP1,CD44,1.896109537,0,Macrophages,0.139727709,1,Macrophages,other
SPP1,ITGA4,1.896109537,0,Macrophages,0.153764885,2.51E-06,Macrophages,other
SPP1,ITGA5,1.896109537,0,Macrophages,0.451215307,4.73E-107,Macrophages,other
SPP1,ITGAV,1.896109537,0,Macrophages,0.154135673,0.096701544,Macrophages,other
SPP1,ITGB1,1.896109537,0,Macrophages,-0.138667375,6.35E-177,Macrophages,other
SPP1,ITGB5,1.896109537,0,Macrophages,-0.150009732,1.47E-183,Macrophages,other
THBS1,CD36,-0.35913051,0,Macrophages,0.433225711,3.93E-116,Macrophages,other
THBS1,CD47,-0.35913051,0,Macrophages,0.457622488,4.96E-113,Macrophages,other
THBS1,ITGA4,-0.35913051,0,Macrophages,0.153764885,2.51E-06,Macrophages,other
THBS1,ITGB1,-0.35913051,0,Macrophages,-0.138667375,6.35E-177,Macrophages,other
THBS1,SDC4,-0.35913051,0,Macrophages,0.254441325,4.66E-55,Macrophages,other
TIMP1,CD63,1.66122735,0,Macrophages,0.138255171,6.84E-17,Macrophages,other
TLN1,ITGB5,0.438720561,1.92E-148,Macrophages,-0.150009732,1.47E-183,Macrophages,other
TNFSF10,TNFRSF10B,1.483508134,0,Macrophages,0.100719365,1,Macrophages,other
TNFSF13,FAS,-0.649185509,0,Macrophages,0.272300968,1.71E-214,Macrophages,other
TNFSF13,TNFRSF14,-0.649185509,0,Macrophages,0.2901658,3.38E-10,Macrophages,other
TNFSF13,TNFRSF1A,-0.649185509,0,Macrophages,0.271225514,9.65E-06,Macrophages,other
UBB,ADRB2,-0.888728214,0,Macrophages,-0.166466443,2.93E-226,Macrophages,other
UBB,TLR4,-0.888728214,0,Macrophages,0.30380965,3.37E-24,Macrophages,other
UBC,ADRB2,0.778921739,0,Macrophages,-0.166466443,2.93E-226,Macrophages,other
UBC,TLR4,0.778921739,0,Macrophages,0.30380965,3.37E-24,Macrophages,other
VCAN,CD44,1.17234387,0,Macrophages,0.139727709,1,Macrophages,other
VCAN,ITGA4,1.17234387,0,Macrophages,0.153764885,2.51E-06,Macrophages,other
VCAN,ITGB1,1.17234387,0,Macrophages,-0.138667375,6.35E-177,Macrophages,other
VCAN,SELL,1.17234387,0,Macrophages,0.583894701,0,Macrophages,other
VCAN,TLR1,1.17234387,0,Macrophages,0.331042766,6.75E-93,Macrophages,other
VCAN,TLR2,1.17234387,0,Macrophages,0.852865008,0,Macrophages,other
VIM,CD44,-0.593550312,0,Macrophages,0.139727709,1,Macrophages,other
TYROBP,TREM1,-0.23225819,0,Macrophages,-0.954193863,0,Macrophages,other
FADD,FAS,0.14550049,3.47E-06,Macrophages,0.272300968,1.71E-214,Macrophages,other
LGALS1,ITGB1,0.570277813,0,Macrophages,-0.138667375,6.35E-177,Macrophages,other
PECAM1,CD38,-0.457188187,0,Macrophages,0.771609357,0,Macrophages,other
LILRB4,LAIR1,1.273368683,0,Macrophages,0.551105679,1.29E-259,Macrophages,other
ICAM1,SPN,0.567569691,0,Macrophages,-0.897856489,0,Macrophages,other
CD99,PILRA,0.263522667,8.36E-27,Macrophages,-0.199966005,1.40E-238,Macrophages,other
HLA-F,LILRB1,0.140598547,2.61E-05,Macrophages,0.77863979,0,Macrophages,other
HLA-F,LILRB2,0.140598547,2.61E-05,Macrophages,1.289064282,0,Macrophages,other
CD52,SIGLEC10,-1.969462202,0,Macrophages,1.003108889,0,Macrophages,other
APOE,SORL1,-0.693252079,0,Macrophages,0.292164124,3.96E-06,T cells,other
APP,CD74,0.46523939,1.16E-226,Macrophages,-1.008854753,1.72E-150,T cells,other
CALM1,FAS,0.423808234,0,Macrophages,0.259948358,6.32E-09,T cells,other
CALM1,SELL,0.423808234,0,Macrophages,1.124096553,5.08E-55,T cells,other
CALM2,SELL,-0.167450428,1.70E-159,Macrophages,1.124096553,5.08E-55,T cells,other
CALM3,SELL,0.691120031,0,Macrophages,1.124096553,5.08E-55,T cells,other
CCL13,CCR1,0.790048355,7.56E-285,Macrophages,0.408381199,2.39E-15,T cells,other
CCL13,CCR5,0.790048355,7.56E-285,Macrophages,0.29862046,5.97E-10,T cells,other
CCL2,CCR1,3.28549325,0,Macrophages,0.408381199,2.39E-15,T cells,other
CCL2,CCR5,3.28549325,0,Macrophages,0.29862046,5.97E-10,T cells,other
CCL3,CCR1,0.393340058,4.68E-222,Macrophages,0.408381199,2.39E-15,T cells,other
CCL3,CCR5,0.393340058,4.68E-222,Macrophages,0.29862046,5.97E-10,T cells,other
CCL4,CCR1,0.835357526,2.13E-244,Macrophages,0.408381199,2.39E-15,T cells,other
CCL4,CCR5,0.835357526,2.13E-244,Macrophages,0.29862046,5.97E-10,T cells,other
CCL5,CCR1,0.615175611,3.29E-177,Macrophages,0.408381199,2.39E-15,T cells,other
CCL5,CCR5,0.615175611,3.29E-177,Macrophages,0.29862046,5.97E-10,T cells,other
CCL7,CCR1,1.441755991,0,Macrophages,0.408381199,2.39E-15,T cells,other
CCL7,CCR5,1.441755991,0,Macrophages,0.29862046,5.97E-10,T cells,other
CCL8,CCR1,2.332371427,0,Macrophages,0.408381199,2.39E-15,T cells,other
CCL8,CCR5,2.332371427,0,Macrophages,0.29862046,5.97E-10,T cells,other
CD14,ITGA4,0.992675695,0,Macrophages,0.347089606,3.47E-10,T cells,other
CD14,ITGB2,0.992675695,0,Macrophages,0.185919637,0.007886145,T cells,other
CD274,PDCD1,0.25186188,7.31E-33,Macrophages,0.273906521,2.67E-09,T cells,other
CD48,CD2,0.757493274,0,Macrophages,0.277782278,5.51E-13,T cells,other
CD86,CD28,0.184597421,1,Macrophages,0.435598767,2.75E-16,T cells,other
CD86,CTLA4,0.184597421,1,Macrophages,0.676377902,1.40E-24,T cells,other
CXCL16,CXCR6,-0.63035308,0,Macrophages,0.432235205,4.08E-13,T cells,other
F13A1,ITGA4,0.553370197,0,Macrophages,0.347089606,3.47E-10,T cells,other
FN1,ITGA4,0.136130312,7.73E-75,Macrophages,0.347089606,3.47E-10,T cells,other
GNAI2,CCR5,0.254396454,2.73E-29,Macrophages,0.29862046,5.97E-10,T cells,other
GNAI2,S1PR4,0.254396454,2.73E-29,Macrophages,0.256567281,1.35E-08,T cells,other
HBEGF,CD82,-0.248059975,0,Macrophages,0.350021995,4.44E-13,T cells,other
HBEGF,CD9,-0.248059975,0,Macrophages,-0.568276531,2.30E-37,T cells,other
HLA-A,APLP2,0.506280953,0,Macrophages,-0.233258941,1,T cells,other
HLA-A,CD3D,0.506280953,0,Macrophages,0.427745453,2.73E-36,T cells,other
HLA-A,CD3G,0.506280953,0,Macrophages,0.276712085,9.39E-13,T cells,other
HLA-C,CD3D,-0.454043649,0,Macrophages,0.427745453,2.73E-36,T cells,other
HLA-C,CD3G,-0.454043649,0,Macrophages,0.276712085,9.39E-13,T cells,other
HLA-E,KLRD1,0.381017634,0,Macrophages,0.510085841,0.886885399,T cells,other
HP,ITGB2,-1.950434969,0,Macrophages,0.185919637,0.007886145,T cells,other
ICAM1,IL2RA,0.567569691,0,Macrophages,0.398572159,3.03E-10,T cells,other
ICAM1,IL2RG,0.567569691,0,Macrophages,0.12918102,0.128648459,T cells,other
ICAM1,ITGB2,0.567569691,0,Macrophages,0.185919637,0.007886145,T cells,other
IL10,IL10RA,0.303323501,0,Macrophages,0.196208363,0.003532167,T cells,other
IL10,SIRPG,0.303323501,0,Macrophages,0.350267639,2.20E-12,T cells,other
IL18,IL18R1,-0.182808116,3.30E-267,Macrophages,0.242789928,1.68E-05,T cells,other
IL27,IL27RA,0.302464249,5.86E-165,Macrophages,0.169961484,0.000351229,T cells,other
LGALS9,HAVCR2,0.547436978,1.22E-166,Macrophages,0.614038335,5.09E-25,T cells,other
LRPAP1,SORL1,-0.61096315,0,Macrophages,0.292164124,3.96E-06,T cells,other
MDK,ITGA4,0.453475824,8.48E-195,Macrophages,0.347089606,3.47E-10,T cells,other
NECTIN2,CD226,0.510076442,2.09E-228,Macrophages,0.11203935,0.042859045,T cells,other
SELPLG,SELL,-0.189110388,1.79E-234,Macrophages,1.124096553,5.08E-55,T cells,other
SPP1,ITGA4,1.896109537,0,Macrophages,0.347089606,3.47E-10,T cells,other
THBS1,CD47,-0.35913051,0,Macrophages,0.235312686,7.40E-11,T cells,other
THBS1,ITGA4,-0.35913051,0,Macrophages,0.347089606,3.47E-10,T cells,other
TIMP1,CD63,1.66122735,0,Macrophages,-0.433792928,3.31E-08,T cells,other
TNFSF13,FAS,-0.649185509,0,Macrophages,0.259948358,6.32E-09,T cells,other
TNFSF13,TNFRSF14,-0.649185509,0,Macrophages,0.13485395,0.006950551,T cells,other
VCAN,ITGA4,1.17234387,0,Macrophages,0.347089606,3.47E-10,T cells,other
VCAN,SELL,1.17234387,0,Macrophages,1.124096553,5.08E-55,T cells,other
FADD,FAS,0.14550049,3.47E-06,Macrophages,0.259948358,6.32E-09,T cells,other
LGALS1,PTPRC,0.570277813,0,Macrophages,0.180697142,0.000173621,T cells,other
PECAM1,CD38,-0.457188187,0,Macrophages,0.570724827,3.01E-25,T cells,other
MRC1,PTPRC,-0.50410947,0,Macrophages,0.180697142,0.000173621,T cells,other
CD47,SIRPG,0.457622488,4.96E-113,Macrophages,0.350267639,2.20E-12,T cells,other
ADAM10,AXL,0.17192424,0.015909273,T cells,-0.236040645,6.86E-291,Macrophages,other
ANXA1,DYSF,0.170256391,1,T cells,0.705810319,0,Macrophages,other
ANXA1,FPR1,0.170256391,1,T cells,0.86801153,0,Macrophages,other
ANXA1,FPR3,0.170256391,1,T cells,0.763035958,0,Macrophages,other
APOE,SORL1,-1.114882122,7.99E-143,T cells,0.139445275,1,Macrophages,other
B2M,HLA-F,0.205994016,4.83E-35,T cells,0.140598547,2.61E-05,Macrophages,other
B2M,LILRB1,0.205994016,4.83E-35,T cells,0.77863979,0,Macrophages,other
B2M,LILRB2,0.205994016,4.83E-35,T cells,1.289064282,0,Macrophages,other
B2M,TFRC,0.205994016,4.83E-35,T cells,-1.154830768,0,Macrophages,other
C1QA,CD93,-1.658602011,6.09E-231,T cells,0.358169522,1.53E-278,Macrophages,other
CALM1,ABCA1,0.18389567,1.01E-10,T cells,0.645580165,0,Macrophages,other
CALM1,FAS,0.18389567,1.01E-10,T cells,0.272300968,1.71E-214,Macrophages,other
CALM1,SELL,0.18389567,1.01E-10,T cells,0.583894701,0,Macrophages,other
CALM2,ABCA1,-0.110481707,1,T cells,0.645580165,0,Macrophages,other
CALM2,SELL,-0.110481707,1,T cells,0.583894701,0,Macrophages,other
CALM3,ABCA1,0.283754833,7.25E-12,T cells,0.645580165,0,Macrophages,other
CALM3,PDE1B,0.283754833,7.25E-12,T cells,-0.154631488,9.63E-195,Macrophages,other
CALM3,SELL,0.283754833,7.25E-12,T cells,0.583894701,0,Macrophages,other
CALR,HLA-F,0.336600497,4.83E-14,T cells,0.140598547,2.61E-05,Macrophages,other
CALR,ITGAV,0.336600497,4.83E-14,T cells,0.154135673,0.096701544,Macrophages,other
CCL2,CCR1,0.626930849,3.29E-25,T cells,1.306045262,0,Macrophages,other
CCL2,CCR5,0.626930849,3.29E-25,T cells,0.244063867,3.83E-226,Macrophages,other
CCL4,CCR1,0.146764216,0.005741091,T cells,1.306045262,0,Macrophages,other
CCL4,CCR5,0.146764216,0.005741091,T cells,0.244063867,3.83E-226,Macrophages,other
CD40LG,CD40,0.328770154,6.95E-10,T cells,0.393878095,8.38E-65,Macrophages,other
CD40LG,ITGAM,0.328770154,6.95E-10,T cells,0.614091549,0,Macrophages,other
CD40LG,ITGB2,0.328770154,6.95E-10,T cells,0.189293563,7.45E-07,Macrophages,other
GZMB,CHRM3,1.584019172,1.33E-48,T cells,-0.17604721,9.57E-268,Macrophages,other
GZMB,IGF2R,1.584019172,1.33E-48,T cells,0.202482861,1,Macrophages,other
HLA-A,APLP2,0.1866723,1.37E-13,T cells,0.219085744,9.93E-14,Macrophages,other
HLA-A,LILRB1,0.1866723,1.37E-13,T cells,0.77863979,0,Macrophages,other
HLA-A,LILRB2,0.1866723,1.37E-13,T cells,1.289064282,0,Macrophages,other
HMGB1,TLR4,0.115060485,0.043752848,T cells,0.30380965,3.37E-24,Macrophages,other
HP,ASGR1,-0.933162282,6.45E-181,T cells,0.309793714,3.88E-29,Macrophages,other
HP,ITGAM,-0.933162282,6.45E-181,T cells,0.614091549,0,Macrophages,other
HP,ITGB2,-0.933162282,6.45E-181,T cells,0.189293563,7.45E-07,Macrophages,other
HSPA1A,TLR4,0.364747714,1.75E-05,T cells,0.30380965,3.37E-24,Macrophages,other
HSPA8,ADRB2,0.538678561,1.08E-38,T cells,-0.166466443,2.93E-226,Macrophages,other
ICAM2,ITGAL,0.419828876,2.03E-13,T cells,-0.131612737,5.53E-181,Macrophages,other
ICAM2,ITGAM,0.419828876,2.03E-13,T cells,0.614091549,0,Macrophages,other
ICAM2,ITGB2,0.419828876,2.03E-13,T cells,0.189293563,7.45E-07,Macrophages,other
IL16,CCR5,0.154466953,0.011465872,T cells,0.244063867,3.83E-226,Macrophages,other
IL16,KCNA3,0.154466953,0.011465872,T cells,-0.224679809,0,Macrophages,other
IRAK4,TLR4,0.238645352,2.34E-06,T cells,0.30380965,3.37E-24,Macrophages,other
LRPAP1,SORT1,-0.217112346,1,T cells,-0.562961576,0,Macrophages,other
LTB,CD40,0.387206682,8.33E-07,T cells,0.393878095,8.38E-65,Macrophages,other
LTB,LTBR,0.387206682,8.33E-07,T cells,0.362676346,3.76E-48,Macrophages,other
LTB,TNFRSF1A,0.387206682,8.33E-07,T cells,0.271225514,9.65E-06,Macrophages,other
LYZ,ITGAL,-1.696664182,0,T cells,-0.131612737,5.53E-181,Macrophages,other
PSAP,SORT1,-0.537178153,1.19E-13,T cells,-0.562961576,0,Macrophages,other
RPS27A,ADRB2,-0.273515866,1.65E-40,T cells,-0.166466443,2.93E-226,Macrophages,other
RPS27A,TLR4,-0.273515866,1.65E-40,T cells,0.30380965,3.37E-24,Macrophages,other
SELPLG,ITGAM,0.111320051,0.009783707,T cells,0.614091549,0,Macrophages,other
SELPLG,SELL,0.111320051,0.009783707,T cells,0.583894701,0,Macrophages,other
TIMP1,CD63,0.3116339,8.33E-08,T cells,0.138255171,6.84E-17,Macrophages,other
TNFSF10,TNFRSF10B,0.66738499,6.41E-31,T cells,0.100719365,1,Macrophages,other
UBC,TLR4,0.143266324,0.005023416,T cells,0.30380965,3.37E-24,Macrophages,other
VIM,CD44,-0.214206346,1.13E-20,T cells,0.139727709,1,Macrophages,other
FYN,SPN,0.261955955,1.94E-05,T cells,-0.897856489,0,Macrophages,other
TYROBP,TREM1,-1.199904055,1.27E-125,T cells,-0.954193863,0,Macrophages,other
CD52,SIGLEC10,-0.269342724,1.37E-14,T cells,1.003108889,0,Macrophages,other
ADAM10,AXL,0.116289974,0.000135889,Macrophages,-0.221964433,4.27E-07,DC,other
ADAM15,ITGB1,0.105046879,1,Macrophages,-0.213720894,0.008761289,DC,other
ADAM17,ITGB1,-0.106806653,8.49E-168,Macrophages,-0.213720894,0.008761289,DC,other
ADAM9,ITGB1,0.267452044,1.57E-54,Macrophages,-0.213720894,0.008761289,DC,other
ALOX5AP,ALOX5,-1.429330476,0,Macrophages,-0.413204196,1.16E-13,DC,other
APOC2,LRP1,-0.224947965,1.32E-288,Macrophages,0.137098017,1,DC,other
APOE,LRP1,-0.693252079,0,Macrophages,0.137098017,1,DC,other
APP,CD74,0.46523939,1.16E-226,Macrophages,-0.390744204,6.76E-35,DC,other
APP,LRP1,0.46523939,1.16E-226,Macrophages,0.137098017,1,DC,other
APP,TNFRSF21,0.46523939,1.16E-226,Macrophages,0.139972505,0.790683606,DC,other
C1QB,LRP1,-0.761789297,0,Macrophages,0.137098017,1,DC,other
CALM1,FAS,0.423808234,0,Macrophages,0.164729635,0.00537555,DC,other
CALM1,KCNN4,0.423808234,0,Macrophages,-0.119221797,0.759331712,DC,other
CALM1,SELL,0.423808234,0,Macrophages,0.85925678,5.28E-25,DC,other
