source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,datasets,ligand.logFC,ligand.pct.1,ligand.pct.2,ligand.pvalues,receptor.logFC,receptor.pct.1,receptor.pct.2,receptor.pvalues
Ciliated,Macrophages,CALM1,ABCA1,0.023785959,0,364,CALM1 - ABCA1,other,other,other,Pos,1.437697745,0.966,0.987,1.70E-33,0.645580165,0.292,0.064,0
Macrophages,Aveolar cells,CALM1,EGFR,0.00338409,0,372,CALM1 - EGFR,other,other,other,Pos,0.423808234,0.917,0.978,0,0.496472499,0.252,0,0.110612294
DC,Aveolar cells,CALM1,EGFR,0.00306939,0,372,CALM1 - EGFR,other,other,other,Pos,0.429167884,0.938,0.898,4.32E-11,0.496472499,0.252,0,0.110612294
Prolif.T,Aveolar cells,CALM1,EGFR,0.003417898,0,372,CALM1 - EGFR,other,other,other,Pos,0.354494491,0.986,0.975,4.44E-10,0.496472499,0.252,0,0.110612294
Ciliated,Aveolar cells,CALM1,EGFR,0.004804382,0,372,CALM1 - EGFR,other,other,other,Pos,1.437697745,0.966,0.987,1.70E-33,0.496472499,0.252,0,0.110612294
Macrophages,Prolif.T,CALM1,FAS,0.014941249,0,373,CALM1 - FAS,other,other,other,Pos,0.423808234,0.917,0.978,0,0.4273475,0.41,0.062,1.31E-09
DC,Prolif.T,CALM1,FAS,0.013566431,0,373,CALM1 - FAS,other,other,other,Pos,0.429167884,0.938,0.898,4.32E-11,0.4273475,0.41,0.062,1.31E-09
Prolif.T,Prolif.T,CALM1,FAS,0.015088768,0,373,CALM1 - FAS,other,other,other,Pos,0.354494491,0.986,0.975,4.44E-10,0.4273475,0.41,0.062,1.31E-09
Ciliated,Prolif.T,CALM1,FAS,0.021109307,0,373,CALM1 - FAS,other,other,other,Pos,1.437697745,0.966,0.987,1.70E-33,0.4273475,0.41,0.062,1.31E-09
Macrophages,Aveolar cells,CALM1,FAS,0.013645169,0,373,CALM1 - FAS,other,other,other,Pos,0.423808234,0.917,0.978,0,0.523348913,0.294,0,0.078127154
DC,Aveolar cells,CALM1,FAS,0.01238811,0.01,373,CALM1 - FAS,other,other,other,Pos,0.429167884,0.938,0.898,4.32E-11,0.523348913,0.294,0,0.078127154
Prolif.T,Aveolar cells,CALM1,FAS,0.013780071,0,373,CALM1 - FAS,other,other,other,Pos,0.354494491,0.986,0.975,4.44E-10,0.523348913,0.294,0,0.078127154
Ciliated,Aveolar cells,CALM1,FAS,0.019288656,0,373,CALM1 - FAS,other,other,other,Pos,1.437697745,0.966,0.987,1.70E-33,0.523348913,0.294,0,0.078127154
Macrophages,Prolif.T,CALM1,HMMR,0.036128044,0,381,CALM1 - HMMR,other,other,other,Pos,0.423808234,0.917,0.978,0,NA,NA,NA,NA
DC,Prolif.T,CALM1,HMMR,0.032868774,0,381,CALM1 - HMMR,other,other,other,Pos,0.429167884,0.938,0.898,4.32E-11,NA,NA,NA,NA
Prolif.T,Prolif.T,CALM1,HMMR,0.036477001,0,381,CALM1 - HMMR,other,other,other,Pos,0.354494491,0.986,0.975,4.44E-10,NA,NA,NA,NA
Ciliated,Prolif.T,CALM1,HMMR,0.050593235,0,381,CALM1 - HMMR,other,other,other,Pos,1.437697745,0.966,0.987,1.70E-33,NA,NA,NA,NA
Macrophages,Ciliated,CALM1,MYLK,0.015546588,0,389,CALM1 - MYLK,other,other,other,Pos,0.423808234,0.917,0.978,0,0.580392583,0.273,0,5.73E-16
DC,Ciliated,CALM1,MYLK,0.014116868,0,389,CALM1 - MYLK,other,other,other,Pos,0.429167884,0.938,0.898,4.32E-11,0.580392583,0.273,0,5.73E-16
Prolif.T,Ciliated,CALM1,MYLK,0.015699989,0,389,CALM1 - MYLK,other,other,other,Pos,0.354494491,0.986,0.975,4.44E-10,0.580392583,0.273,0,5.73E-16
Ciliated,Ciliated,CALM1,MYLK,0.021958973,0,389,CALM1 - MYLK,other,other,other,Pos,1.437697745,0.966,0.987,1.70E-33,0.580392583,0.273,0,5.73E-16
Macrophages,DC,CALM1,PTPRA,0.011461644,0,397,CALM1 - PTPRA,other,other,other,Pos,0.423808234,0.917,0.978,0,NA,NA,NA,NA
DC,DC,CALM1,PTPRA,0.01040362,0,397,CALM1 - PTPRA,other,other,other,Pos,0.429167884,0.938,0.898,4.32E-11,NA,NA,NA,NA
Prolif.T,DC,CALM1,PTPRA,0.011575212,0,397,CALM1 - PTPRA,other,other,other,Pos,0.354494491,0.986,0.975,4.44E-10,NA,NA,NA,NA
Ciliated,DC,CALM1,PTPRA,0.016216898,0,397,CALM1 - PTPRA,other,other,other,Pos,1.437697745,0.966,0.987,1.70E-33,NA,NA,NA,NA
Macrophages,Prolif.T,CALM1,PTPRA,0.012592758,0,397,CALM1 - PTPRA,other,other,other,Pos,0.423808234,0.917,0.978,0,NA,NA,NA,NA
DC,Prolif.T,CALM1,PTPRA,0.011431528,0,397,CALM1 - PTPRA,other,other,other,Pos,0.429167884,0.938,0.898,4.32E-11,NA,NA,NA,NA
Prolif.T,Prolif.T,CALM1,PTPRA,0.012717389,0,397,CALM1 - PTPRA,other,other,other,Pos,0.354494491,0.986,0.975,4.44E-10,NA,NA,NA,NA
Ciliated,Prolif.T,CALM1,PTPRA,0.017808838,0,397,CALM1 - PTPRA,other,other,other,Pos,1.437697745,0.966,0.987,1.70E-33,NA,NA,NA,NA
Ciliated,Ciliated,CALM1,PTPRA,0.018182394,0.01,397,CALM1 - PTPRA,other,other,other,Pos,1.437697745,0.966,0.987,1.70E-33,NA,NA,NA,NA
Macrophages,T cells,CALM1,SELL,0.023708078,0,401,CALM1 - SELL,other,other,other,Pos,0.423808234,0.917,0.978,0,1.124096553,0.257,0.02,2.77E-59
DC,T cells,CALM1,SELL,0.021544224,0,401,CALM1 - SELL,other,other,other,Pos,0.429167884,0.938,0.898,4.32E-11,1.124096553,0.257,0.02,2.77E-59
Prolif.T,T cells,CALM1,SELL,0.023940052,0,401,CALM1 - SELL,other,other,other,Pos,0.354494491,0.986,0.975,4.44E-10,1.124096553,0.257,0.02,2.77E-59
Ciliated,T cells,CALM1,SELL,0.033372655,0,401,CALM1 - SELL,other,other,other,Pos,1.437697745,0.966,0.987,1.70E-33,1.124096553,0.257,0.02,2.77E-59
Macrophages,DC,CALM1,SELL,0.028138757,0,401,CALM1 - SELL,other,other,other,Pos,0.423808234,0.917,0.978,0,0.85925678,0.444,0.11,2.88E-29
DC,DC,CALM1,SELL,0.025581107,0,401,CALM1 - SELL,other,other,other,Pos,0.429167884,0.938,0.898,4.32E-11,0.85925678,0.444,0.11,2.88E-29
Prolif.T,DC,CALM1,SELL,0.028412821,0,401,CALM1 - SELL,other,other,other,Pos,0.354494491,0.986,0.975,4.44E-10,0.85925678,0.444,0.11,2.88E-29
Ciliated,DC,CALM1,SELL,0.039536352,0,401,CALM1 - SELL,other,other,other,Pos,1.437697745,0.966,0.987,1.70E-33,0.85925678,0.444,0.11,2.88E-29
Macrophages,Prolif.T,CALM1,SELL,0.113332667,0,401,CALM1 - SELL,other,other,other,Pos,0.423808234,0.917,0.978,0,1.574796885,0.813,0.05,6.50E-32
DC,Prolif.T,CALM1,SELL,0.103858917,0,401,CALM1 - SELL,other,other,other,Pos,0.429167884,0.938,0.898,4.32E-11,1.574796885,0.813,0.05,6.50E-32
Prolif.T,Prolif.T,CALM1,SELL,0.114338876,0,401,CALM1 - SELL,other,other,other,Pos,0.354494491,0.986,0.975,4.44E-10,1.574796885,0.813,0.05,6.50E-32
Ciliated,Prolif.T,CALM1,SELL,0.153777858,0,401,CALM1 - SELL,other,other,other,Pos,1.437697745,0.966,0.987,1.70E-33,1.574796885,0.813,0.05,6.50E-32
Ciliated,Macrophages,CALM2,ABCA1,0.016569468,0,405,CALM2 - ABCA1,other,other,other,Pos,0.772075769,0.932,0.955,5.68E-17,0.645580165,0.292,0.064,0
Ciliated,Aveolar cells,CALM2,EGFR,0.003327139,0,409,CALM2 - EGFR,other,other,other,Pos,0.772075769,0.932,0.955,5.68E-17,0.496472499,0.252,0,0.110612294
Ciliated,Ciliated,CALM2,MYLK,0.015288096,0,417,CALM2 - MYLK,other,other,other,Pos,0.772075769,0.932,0.955,5.68E-17,0.580392583,0.273,0,5.73E-16
Ciliated,T cells,CALM2,SELL,0.023317099,0,425,CALM2 - SELL,other,other,other,Pos,0.772075769,0.932,0.955,5.68E-17,1.124096553,0.257,0.02,2.77E-59
Ciliated,DC,CALM2,SELL,0.027676781,0,425,CALM2 - SELL,other,other,other,Pos,0.772075769,0.932,0.955,5.68E-17,0.85925678,0.444,0.11,2.88E-29
Ciliated,Prolif.T,CALM2,SELL,0.111632658,0,425,CALM2 - SELL,other,other,other,Pos,0.772075769,0.932,0.955,5.68E-17,1.574796885,0.813,0.05,6.50E-32
Macrophages,Macrophages,CALM3,ABCA1,0.0066581,0,427,CALM3 - ABCA1,other,other,other,Pos,0.691120031,0.617,0.519,0,0.645580165,0.292,0.064,0
T cells,Macrophages,CALM3,ABCA1,0.002572493,0,427,CALM3 - ABCA1,other,other,other,Pos,0.283754833,0.332,0.182,3.95E-16,0.645580165,0.292,0.064,0
DC,Macrophages,CALM3,ABCA1,0.004473803,0,427,CALM3 - ABCA1,other,other,other,Pos,0.355074868,0.559,0.412,1.37E-10,0.645580165,0.292,0.064,0
Prolif.T,Macrophages,CALM3,ABCA1,0.009921318,0,427,CALM3 - ABCA1,other,other,other,Pos,0.372229962,0.905,0.812,2.27E-07,0.645580165,0.292,0.064,0
Macrophages,Aveolar cells,CALM3,EGFR,0.00132626,0,430,CALM3 - EGFR,other,other,other,Pos,0.691120031,0.617,0.519,0,0.496472499,0.252,0,0.110612294
T cells,Aveolar cells,CALM3,EGFR,0.000510745,0,430,CALM3 - EGFR,other,other,other,Pos,0.283754833,0.332,0.182,3.95E-16,0.496472499,0.252,0,0.110612294
DC,Aveolar cells,CALM3,EGFR,0.000889593,0,430,CALM3 - EGFR,other,other,other,Pos,0.355074868,0.559,0.412,1.37E-10,0.496472499,0.252,0,0.110612294
Prolif.T,Aveolar cells,CALM3,EGFR,0.001981489,0,430,CALM3 - EGFR,other,other,other,Pos,0.372229962,0.905,0.812,2.27E-07,0.496472499,0.252,0,0.110612294
Macrophages,Ciliated,CALM3,MYLK,0.006138423,0,438,CALM3 - MYLK,other,other,other,Pos,0.691120031,0.617,0.519,0,0.580392583,0.273,0,5.73E-16
T cells,Ciliated,CALM3,MYLK,0.002370944,0,438,CALM3 - MYLK,other,other,other,Pos,0.283754833,0.332,0.182,3.95E-16,0.580392583,0.273,0,5.73E-16
DC,Ciliated,CALM3,MYLK,0.004123907,0,438,CALM3 - MYLK,other,other,other,Pos,0.355074868,0.559,0.412,1.37E-10,0.580392583,0.273,0,5.73E-16
Prolif.T,Ciliated,CALM3,MYLK,0.009149287,0,438,CALM3 - MYLK,other,other,other,Pos,0.372229962,0.905,0.812,2.27E-07,0.580392583,0.273,0,5.73E-16
Macrophages,T cells,CALM3,SELL,0.00940811,0,446,CALM3 - SELL,other,other,other,Pos,0.691120031,0.617,0.519,0,1.124096553,0.257,0.02,2.77E-59
DC,T cells,CALM3,SELL,0.006327375,0,446,CALM3 - SELL,other,other,other,Pos,0.355074868,0.559,0.412,1.37E-10,1.124096553,0.257,0.02,2.77E-59
Prolif.T,T cells,CALM3,SELL,0.014000146,0,446,CALM3 - SELL,other,other,other,Pos,0.372229962,0.905,0.812,2.27E-07,1.124096553,0.257,0.02,2.77E-59
Macrophages,DC,CALM3,SELL,0.011196993,0,446,CALM3 - SELL,other,other,other,Pos,0.691120031,0.617,0.519,0,0.85925678,0.444,0.11,2.88E-29
DC,DC,CALM3,SELL,0.007534935,0.01,446,CALM3 - SELL,other,other,other,Pos,0.355074868,0.559,0.412,1.37E-10,0.85925678,0.444,0.11,2.88E-29
